tid,toi,pl_orbper,pl_tranmid,tfopwg_disp
273985865,1208.02,10.983042,2458331.120311,PC
273985865,1208.03,17.726449,2458341.801726,PC
30037565,1209.01,40.7199388,2458337.088331,PC
207081058,121.01,14.7741056,2459074.32911,APC
33878688,1210.01,79.3739596,2459187.361317,FP
50312495,1211.01,18.1663644,2460180.146446,PC
389924075,1212.01,105.5850893,2458402.036518,PC
399144800,1213.01,27.2149622,2458576.189436,FP
451606970,1214.01,19.1807264,2458634.552482,PC
453260209,1215.01,1.2124493,2458570.395929,PC
141527965,1216.01,4.5541831,2458325.424166,PC
248092710,1217.01,41.4856125,2458574.940733,PC
294781547,1218.01,13.7739339,2460953.672515,PC
294981566,1219.01,1.9142544,2460121.561055,PC
231702397,122.01,5.0780325,2458329.118988,CP
319259194,1220.01,70.3607265,2458439.580138,APC
349095149,1221.01,91.6827832,2458404.181466,CP
374997123,1222.01,10.1944993,2458329.466254,PC
382437043,1223.01,14.64319,2458337.747012,FP
299798795,1224.01,4.1782656,2458327.705053,CP
299798795,1224.02,17.9453645,2458329.862603,CP
150428703,1225.01,13.896396,2458414.082856,PC
150428703,1225.02,8.1213102,2458414.548052,PC
177115354,1226.01,3.9287851,2458438.458273,PC
360156606,1227.01,27.3613778,2458617.479256,CP
300038935,1228.01,29.0496801,2460904.701871,CP
140760434,1229.01,31.8132264,2459970.491644,APC
290131778,123.01,3.3088922,2460175.035028,CP
158170594,1240.01,1.7208555,2459421.32991,KP
159107668,1241.01,4.7802597,2459421.236112,PC
198212955,1242.01,0.3814849,2459664.126568,PC
219698776,1243.01,4.6595169,2459598.143164,CP
219850915,1244.01,6.4002807,2459913.810947,CP
229781583,1245.01,4.8204512,2459764.329317,PC
230127302,1246.01,18.6548829,2459733.643821,CP
230127302,1246.02,4.3074513,2459737.587215,CP
230127302,1246.03,5.9041278,2459740.304262,CP
230127302,1246.04,37.9251983,2458700.697302,CP
232540264,1247.01,15.9234883,2460311.844914,CP
232612416,1248.01,4.3601536,2458687.1215,CP
232976128,1249.01,13.0791581,2460342.349121,CP
52368076,125.01,4.6517186,2460206.744249,CP
52368076,125.02,9.1549418,2460202.049893,CP
52368076,125.03,19.9815709,2460181.146579,CP
52368076,125.04,,2460188.729278,PC
233059608,1250.01,1.4415044,2458683.642967,FA
163539739,1278.01,14.4751062,2459826.540249,CP
224297258,1279.01,9.6141636,2459659.673503,CP
391949880,128.01,4.9404714,2460175.867159,CP
230017324,1280.01,9.6926392,2458691.302548,PC
232971294,1281.01,6.390888,2460351.314066,PC
236445129,1282.01,0.9689927,2459445.892853,KP
266593143,1283.01,10.338505,2460539.055031,KP
267561446,1284.01,1.283251,2458711.815604,FP
274662200,1285.01,1.2284388,2458712.3664,FP
277507814,1286.01,0.6166953,2460559.148579,APC
352764091,1287.01,9.6001126,2459828.256927,PC
365733349,1288.01,2.6998294,2460445.649979,CP
408203470,1289.01,0.581322,2458711.410631,FP
201248411,129.01,0.980972,2460205.646862,CP
233120979,1251.01,5.9630544,2459759.178675,APC
233211762,1252.01,1.1219715,2459662.042876,PC
233684822,1253.01,4.6756655,2460658.633557,FP
236714379,1254.01,1.0180114,2459716.011222,APC
237222864,1255.01,10.288886,2460646.544681,CP
274762761,1256.01,1.0332441,2458683.947476,FP
278348461,1257.01,5.4526479,2459820.977365,KP
288132261,1258.01,10.2613397,2460333.648786,PC
288735205,1259.01,3.4779776,2459764.874089,CP
70440470,126.01,3.0354017,2458326.730861,KP
355867695,1260.01,3.1274634,2459634.760516,CP
355867695,1260.02,7.4931613,2458686.119718,CP
355867695,1260.03,49.825166,2458879.323459,CP
356311210,1261.01,18.0574016,2459628.771413,PC
365938305,1262.01,20.8774413,2460322.358008,PC
406672232,1263.01,1.0214555,2460557.928454,PC
416195870,1264.01,2.7441672,2459765.819264,PC
424865156,1265.01,2.2047452,2460558.800568,KP
